Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,113.0,2.0,114.0,115.0,0.0,51.92600000999998,51.92600000999998,0.0,15.437365531921387,,,,,,,,,,,,,,,,16.196297402310048,13.504507773943777,50.145964367906906,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,186.0,3.0,74.0,189.0,0.0,22.10800001000007,22.10800001000007,0.0,25.580498218536377,,,,,,,,,,,,,,,,4.919752172262501,5.725408736723394,21.77062873015501,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,234.0,4.0,49.0,238.0,0.0,21.508000010000025,21.508000010000025,0.0,32.600836515426636,,,,,,,,,,,,,,,,6.012625464287706,6.494408630386406,21.240634622336525,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,257.0,5.0,24.0,262.0,0.0,8.506000009999996,8.506000009999996,0.0,36.42562007904053,,,,,,,,,,,,,,,,2.063059053831322,2.6145690702682423,8.467016668430308,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,282.0,6.0,26.0,288.0,0.0,8.207000009999994,8.207000009999994,0.0,40.72448205947876,,,,,,,,,,,,,,,,1.7915348100022939,2.4405563877739485,8.170382021771713,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,308.0,7.0,27.0,315.0,0.0,10.206000009999995,10.206000009999995,0.0,44.900124073028564,,,,,,,,,,,,,,,,2.464536681656104,3.1508872975389077,10.152074130407351,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,355.0,8.0,48.0,363.0,0.0,9.716000009999986,9.716000009999986,0.0,51.76789927482605,,,,,,,,,,,,,,,,1.8278905465516908,2.544693729906299,9.63972888319527,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,397.0,9.0,43.0,406.0,0.0,21.408000010000023,21.408000010000023,0.0,58.165165424346924,,,,,,,,,,,,,,,,5.975698663077135,6.855173780064946,21.178198865015776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,514.0,10.0,118.0,524.0,0.0,48.00800001000006,48.00800001000006,0.0,73.93645453453064,,,,,,,,,,,,,,,,16.758955627734533,11.65471203353556,46.09329549705215,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,567.0,11.0,54.0,578.0,0.0,25.905000010000027,25.905000010000027,0.0,81.62167930603027,,,,,,,,,,,,,,,,7.566409097164104,7.861028518290564,25.529509837687993,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,605.0,12.0,39.0,617.0,0.0,20.30700001000002,20.30700001000002,0.0,87.2544276714325,,,,,,,,,,,,,,,,5.865168033717109,6.60930891264354,20.104227852571327,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,693.0,13.0,89.0,706.0,0.0,40.705000010000035,40.705000010000035,0.0,99.42203736305237,,,,,,,,,,,,,,,,14.67023745410113,10.275861481167034,39.45347258662574,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,727.0,14.0,35.0,741.0,0.0,19.105000010000015,19.105000010000015,0.0,104.63099980354309,,,,,,,,,,,,,,,,5.900167425686473,6.2116936028737495,18.923317635161826,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,764.0,15.0,38.0,779.0,0.0,11.509000009999992,11.509000009999992,0.0,110.2599139213562,,,,,,,,,,,,,,,,2.8007516861353454,3.36585771753629,11.416788986599592,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,884.0,16.0,121.0,900.0,0.0,58.50600001000004,58.50600001000004,0.0,126.72109651565552,,,,,,,,,,,,,,,,23.753423023432354,15.242528942535255,55.71130054773588,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,977.0,17.0,94.0,994.0,0.0,62.10700000999999,62.10700000999999,0.0,139.4463403224945,,,,,,,,,,,,,,,,23.51309822342364,18.74721110706664,59.98026213735897,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
